Item Name,Supplier,Quantity,Cost Per Unit,Total Cost,Expiry Date,Storage Location,Stock Status,Order Date,Delivery Date
Population Surgical Equipment,HealthFirst,38,227.58,8648.04,18/05/2027,Warehouse B,Available,28/05/2022,05/01/2023
Spend Surgical Equipment,MedSupplies,164,363.5,59614,03/07/2026,Emergency Storage,Low Stock,03/09/2023,19/10/2023
Worker Personal Protective Equipment,CareWell,33,22.31,736.23,13/08/2027,Warehouse B,Low Stock,12/03/2022,24/04/2024
Arm Medicine,HealthFirst,205,55.63,11404.15,10/04/2024,Emergency Storage,Available,14/12/2022,01/02/2023
Factor Sanitizers,PharmaPlus,218,112.78,24586.04,19/09/2024,Main Hospital,Out of Stock,09/05/2023,31/03/2024
Hold Surgical Equipment,PharmaPlus,20,280.5,5610,12/08/2025,Emergency Storage,Low Stock,29/05/2022,29/11/2023
Knowledge Sanitizers,MedSupplies,8,43.8,350.4,14/02/2026,Emergency Storage,Out of Stock,18/08/2023,19/09/2023
Better Diagnostic Tools,MedSupplies,53,29.04,1539.12,30/03/2027,Main Hospital,Low Stock,22/06/2024,17/03/2025
May Surgical Equipment,MedSupplies,174,389.8,67825.2,27/10/2024,Clinic Branch,Low Stock,19/12/2024,18/02/2025
Wait Sanitizers,PharmaPlus,165,434.97,71770.05,18/05/2024,Main Hospital,Low Stock,24/05/2024,30/05/2024
Life Diagnostic Tools,HealthFirst,102,67.9,6925.8,29/12/2026,Emergency Storage,Available,23/05/2023,09/04/2024
Project Surgical Equipment,CareWell,251,232.88,58452.88,13/05/2024,Clinic Branch,Available,20/09/2024,15/10/2024
Treatment Diagnostic Tools,MediCorp,145,259.47,37623.15,27/06/2024,Emergency Storage,Out of Stock,13/02/2025,10/03/2025
Image Surgical Equipment,PharmaPlus,154,475.41,73213.14,14/12/2025,Clinic Branch,Low Stock,08/12/2024,23/03/2025
She Diagnostic Tools,PharmaPlus,176,373.85,65797.6,08/08/2024,Warehouse A,Available,08/12/2024,05/03/2025
Near Diagnostic Tools,MediCorp,44,494.02,21736.88,18/08/2027,Warehouse A,Out of Stock,19/03/2023,26/11/2024
Respond Surgical Equipment,MediCorp,18,340.16,6122.88,17/05/2024,Warehouse B,Available,23/08/2024,23/09/2024
Less Surgical Equipment,HealthFirst,107,352.3,37696.1,08/10/2025,Warehouse A,Out of Stock,28/10/2022,31/07/2024
Message Personal Protective Equipment,MedSupplies,135,300.66,40589.1,18/09/2025,Clinic Branch,Out of Stock,08/03/2024,29/05/2024
Develop Surgical Equipment,PharmaPlus,12,428.38,5140.56,01/09/2024,Warehouse A,Low Stock,22/12/2024,11/03/2025
Hit Surgical Equipment,HealthFirst,256,111.02,28421.12,02/08/2024,Emergency Storage,Low Stock,17/06/2024,07/11/2024
Thank Surgical Equipment,CareWell,80,496.22,39697.6,04/01/2027,Clinic Branch,Out of Stock,24/10/2023,11/06/2024
Minute Sanitizers,MediCorp,145,365.11,52940.95,29/12/2025,Warehouse B,Available,21/06/2024,11/09/2024
Assume Surgical Equipment,PharmaPlus,281,454.75,127784.75,20/07/2027,Clinic Branch,Available,18/10/2024,14/12/2024
Surface Surgical Equipment,HealthFirst,111,158.35,17576.85,29/01/2027,Emergency Storage,Out of Stock,29/09/2024,28/12/2024
Speech Diagnostic Tools,HealthFirst,110,381.8,41998,27/06/2024,Clinic Branch,Low Stock,09/06/2023,28/10/2024
Up Diagnostic Tools,MedSupplies,288,478.37,137770.56,09/06/2026,Warehouse B,Out of Stock,12/10/2022,
Daughter Sanitizers,CareWell,224,90.38,20245.12,05/02/2025,Clinic Branch,Out of Stock,30/05/2022,25/05/2023
Suffer Medicine,CareWell,48,456.05,21890.4,10/10/2027,Warehouse A,Low Stock,24/07/2024,30/12/2024
Spend Surgical Equipment,PharmaPlus,47,118.59,5573.73,15/09/2027,Clinic Branch,Low Stock,26/07/2022,07/07/2023
Name Medicine,MediCorp,8,152.64,1221.12,05/12/2027,Emergency Storage,Low Stock,28/01/2025,13/03/2025
Near Sanitizers,CareWell,246,430.86,105991.56,05/05/2026,Warehouse A,Available,09/11/2023,12/07/2024
Source Personal Protective Equipment,PharmaPlus,150,310.38,46557,25/10/2027,Main Hospital,Available,11/01/2024,23/09/2024
Reflect Personal Protective Equipment,CareWell,47,137.84,6478.48,06/04/2025,Emergency Storage,Available,01/11/2024,27/11/2024
Question Sanitizers,MediCorp,47,314.59,14785.73,25/10/2026,Warehouse B,Low Stock,07/02/2025,09/03/2025
Investment Personal Protective Equipment,MedSupplies,82,370.64,30392.48,05/12/2025,Warehouse A,Out of Stock,30/06/2023,09/07/2024
Night Diagnostic Tools,CareWell,19,65.69,1248.11,19/10/2025,Warehouse B,Available,20/04/2023,26/07/2024
Sing Sanitizers,CareWell,288,162.52,46805.76,29/06/2027,Emergency Storage,Out of Stock,17/03/2024,03/07/2024
Build Sanitizers,MedSupplies,0,315.95,0,06/01/2026,Warehouse A,Out of Stock,22/08/2023,06/03/2025
Pm Sanitizers,HealthFirst,229,232.37,53212.73,14/02/2025,Clinic Branch,Low Stock,31/12/2023,28/11/2024
Or Medicine,HealthFirst,192,142.57,27373.44,25/01/2025,Warehouse B,Available,12/06/2024,15/01/2025
Second Personal Protective Equipment,MedSupplies,36,154.4,5558.4,02/10/2026,Warehouse B,Low Stock,21/08/2023,11/05/2024
Accept Sanitizers,MedSupplies,295,206.67,60967.65,29/12/2024,Warehouse B,Low Stock,02/04/2022,22/05/2022
Sister Diagnostic Tools,PharmaPlus,47,163.06,7663.82,05/08/2027,Clinic Branch,Available,06/04/2023,29/05/2023
Them Medicine,MediCorp,3,381.36,1144.08,17/08/2027,Warehouse B,Available,14/11/2022,19/12/2023
Yard Diagnostic Tools,PharmaPlus,232,460.18,106761.76,05/02/2025,Emergency Storage,Low Stock,23/10/2022,30/11/2023
Rise Personal Protective Equipment,MedSupplies,110,464.68,51114.8,17/11/2025,Main Hospital,Available,20/09/2024,21/12/2024
Season Personal Protective Equipment,PharmaPlus,44,251.81,11079.64,18/02/2026,Warehouse A,Low Stock,11/01/2025,24/02/2025
Support Medicine,MediCorp,193,277.38,53534.34,05/12/2025,Emergency Storage,Low Stock,11/05/2024,25/11/2024
Author Sanitizers,PharmaPlus,95,165.49,15721.55,06/04/2024,Emergency Storage,Available,24/01/2023,20/10/2024
Front Diagnostic Tools,CareWell,7,297.48,2082.36,01/01/2026,Main Hospital,Low Stock,19/12/2023,
Turn Sanitizers,PharmaPlus,97,460,44620,31/08/2027,Clinic Branch,Available,03/12/2023,22/12/2024
Water Sanitizers,MediCorp,175,298.69,52270.75,01/03/2026,Emergency Storage,Available,04/08/2024,18/12/2024
Front Medicine,CareWell,256,363.99,93181.44,24/11/2025,Clinic Branch,Low Stock,20/11/2023,04/04/2024
Write Surgical Equipment,MedSupplies,41,253.07,10375.87,25/08/2024,Warehouse B,Low Stock,18/06/2024,27/01/2025
View Personal Protective Equipment,CareWell,91,278.06,25303.46,11/07/2024,Emergency Storage,Available,27/02/2023,16/09/2023
Town Surgical Equipment,PharmaPlus,128,361.11,46222.08,05/02/2026,Main Hospital,Out of Stock,27/11/2023,
Color Personal Protective Equipment,HealthFirst,5,147.14,735.7,20/09/2024,Emergency Storage,Out of Stock,19/04/2023,01/11/2023
Tell Medicine,HealthFirst,51,77.29,3941.79,21/12/2026,Clinic Branch,Available,23/12/2023,17/10/2024
Story Sanitizers,CareWell,0,153.33,0,03/03/2025,Emergency Storage,Available,08/05/2023,03/12/2024
Modern Personal Protective Equipment,PharmaPlus,174,73.63,12811.62,19/09/2026,Main Hospital,Out of Stock,16/04/2023,21/10/2023
These Surgical Equipment,CareWell,283,272.83,77210.89,Invalid Date,Emergency Storage,Available,09/08/2023,11/09/2023
Glass Personal Protective Equipment,HealthFirst,266,78.5,20881,26/06/2027,Warehouse B,Low Stock,20/03/2022,06/02/2025
Fact Medicine,HealthFirst,128,93.72,11996.16,24/10/2025,Clinic Branch,Out of Stock,16/10/2023,23/01/2024
Whose Sanitizers,MediCorp,65,50.98,3313.7,13/12/2026,Emergency Storage,Out of Stock,14/03/2023,13/12/2023
Early Diagnostic Tools,HealthFirst,83,176.07,14613.81,02/05/2027,Main Hospital,Low Stock,01/11/2022,05/10/2024
Number Diagnostic Tools,MedSupplies,204,354.68,72354.72,27/11/2027,Main Hospital,Out of Stock,26/12/2024,15/01/2025
True Personal Protective Equipment,MediCorp,0,490.81,0,12/05/2027,Emergency Storage,Available,05/10/2023,14/10/2023
Role Sanitizers,HealthFirst,282,102.6,28933.2,10/08/2027,Emergency Storage,Low Stock,17/07/2023,17/09/2024
Author Sanitizers,PharmaPlus,46,175.88,8090.48,16/02/2028,Emergency Storage,Available,28/10/2023,01/01/2025
Range Sanitizers,MediCorp,151,432.34,65283.34,23/04/2027,Main Hospital,Available,09/12/2022,02/09/2023
Behavior Surgical Equipment,PharmaPlus,221,463.8,102499.8,31/10/2026,Warehouse B,Out of Stock,24/02/2023,27/02/2023
Left Medicine,MedSupplies,273,150.15,40990.95,11/05/2025,Emergency Storage,Low Stock,09/03/2023,18/09/2024
Water Surgical Equipment,MedSupplies,186,8.6,1599.6,19/08/2024,Clinic Branch,Out of Stock,27/08/2023,09/10/2024
Yourself Surgical Equipment,PharmaPlus,238,247.75,58964.5,28/11/2025,Clinic Branch,Available,16/11/2022,22/01/2024
Similar Surgical Equipment,HealthFirst,255,405.92,103509.6,10/02/2027,Main Hospital,Out of Stock,27/10/2023,10/10/2024
Else Personal Protective Equipment,HealthFirst,4,160.81,643.24,29/05/2024,Clinic Branch,Available,26/07/2024,
On Diagnostic Tools,HealthFirst,148,44.63,6605.24,19/03/2025,Warehouse B,Low Stock,22/11/2024,09/12/2024
Prove Personal Protective Equipment,PharmaPlus,233,450.73,105020.09,23/04/2026,Main Hospital,Low Stock,16/12/2023,10/02/2025
Data Surgical Equipment,MediCorp,147,256.88,37761.36,30/09/2024,Main Hospital,Out of Stock,10/02/2025,14/02/2025
Nice Diagnostic Tools,MedSupplies,22,88.44,1945.68,23/07/2024,Warehouse A,Low Stock,22/01/2025,12/02/2025
Poor Personal Protective Equipment,PharmaPlus,292,206.24,60222.08,13/02/2028,Emergency Storage,Available,23/09/2023,02/01/2025
Production Diagnostic Tools,HealthFirst,299,370.1,110659.9,01/12/2026,Clinic Branch,Available,05/09/2023,12/03/2025
Truth Surgical Equipment,CareWell,238,298.94,71147.72,28/04/2026,Emergency Storage,Low Stock,25/01/2023,06/10/2023
Until Sanitizers,MediCorp,9,460.25,4142.25,21/09/2024,Main Hospital,Out of Stock,31/03/2024,15/09/2024
Crime Medicine,MediCorp,200,113.86,22772,25/02/2027,Clinic Branch,Available,26/07/2023,21/10/2023
Community Medicine,MedSupplies,147,273.13,40150.11,10/07/2027,Warehouse A,Out of Stock,31/05/2024,
Of Medicine,MedSupplies,74,323.93,23970.82,25/07/2024,Emergency Storage,Low Stock,17/06/2022,27/11/2024
Energy Diagnostic Tools,MedSupplies,133,460.84,61291.72,Invalid Date,Warehouse A,Low Stock,20/07/2023,17/12/2023
Reality Diagnostic Tools,PharmaPlus,146,421.88,61594.48,16/09/2027,Emergency Storage,Available,17/05/2023,10/07/2023
Detail Personal Protective Equipment,MediCorp,33,133.25,4397.25,28/01/2026,Warehouse B,Low Stock,22/02/2025,28/02/2025
Increase Surgical Equipment,HealthFirst,232,85.61,19861.52,28/03/2025,Warehouse B,Out of Stock,28/09/2022,25/04/2024
Child Personal Protective Equipment,HealthFirst,274,172.51,47267.74,09/11/2027,Clinic Branch,Out of Stock,08/07/2022,27/07/2024
Success Personal Protective Equipment,MediCorp,217,101.41,22005.97,02/07/2024,Main Hospital,Low Stock,17/11/2024,02/12/2024
Your Surgical Equipment,MediCorp,127,115.99,14730.73,09/12/2025,Emergency Storage,Available,07/10/2024,23/11/2024
Develop Sanitizers,HealthFirst,230,190.07,43716.1,30/07/2024,Main Hospital,Out of Stock,08/08/2022,29/05/2023
Break Sanitizers,PharmaPlus,32,130.37,4171.84,05/06/2026,Emergency Storage,Low Stock,11/06/2022,26/04/2023
Community Sanitizers,PharmaPlus,143,31.6,4518.8,24/09/2027,Emergency Storage,Low Stock,31/10/2022,23/02/2025
Nature Diagnostic Tools,HealthFirst,121,40.7,4924.7,30/03/2025,Warehouse A,Available,21/12/2023,31/12/2023
Might Personal Protective Equipment,HealthFirst,89,6.95,618.55,19/05/2026,Clinic Branch,Out of Stock,26/12/2022,06/05/2024
Spend Surgical Equipment,MediCorp,162,104.27,16891.74,15/07/2025,Emergency Storage,Low Stock,07/01/2025,04/02/2025
Window Surgical Equipment,CareWell,113,223.35,25238.55,25/04/2025,Emergency Storage,Out of Stock,14/09/2024,
Perform Sanitizers,MedSupplies,33,16.8,554.4,21/06/2026,Emergency Storage,Available,15/08/2024,27/08/2024
Hear Medicine,MediCorp,152,189.88,28861.76,08/09/2024,Main Hospital,Low Stock,30/10/2022,26/11/2023
Laugh Sanitizers,HealthFirst,85,195.85,16647.25,21/11/2026,Warehouse B,Low Stock,10/10/2023,10/03/2025
When Medicine,MedSupplies,60,24.5,1470,03/09/2025,Clinic Branch,Low Stock,23/01/2025,01/03/2025
Beat Sanitizers,MedSupplies,75,137.89,10341.75,07/07/2026,Warehouse A,Low Stock,26/08/2022,25/09/2024
Natural Diagnostic Tools,MediCorp,14,341.77,4784.78,27/11/2027,Warehouse B,Available,17/09/2022,14/06/2024
Activity Sanitizers,CareWell,258,321.26,82885.08,01/02/2025,Main Hospital,Available,28/10/2024,24/11/2024
Lead Medicine,HealthFirst,20,165.6,3312,12/05/2026,Warehouse A,Out of Stock,29/01/2024,07/07/2024
Save Diagnostic Tools,HealthFirst,239,453.3,108338.7,29/05/2025,Clinic Branch,Out of Stock,05/10/2023,15/11/2024
Analysis Medicine,CareWell,144,82.03,11812.32,06/05/2025,Clinic Branch,Out of Stock,02/06/2024,22/12/2024
Stay Diagnostic Tools,MediCorp,288,185.65,53467.2,19/01/2027,Main Hospital,Available,22/06/2023,
Edge Surgical Equipment,PharmaPlus,142,414.3,58830.6,21/06/2024,Clinic Branch,Available,25/03/2023,19/05/2024
Themselves Surgical Equipment,MediCorp,66,295.67,19514.22,01/02/2027,Warehouse A,Out of Stock,18/05/2022,06/07/2023
Door Sanitizers,CareWell,198,5.41,1071.18,25/02/2026,Clinic Branch,Available,17/09/2022,
Huge Sanitizers,CareWell,162,406.48,65849.76,11/11/2025,Main Hospital,Out of Stock,04/12/2022,
We Diagnostic Tools,PharmaPlus,180,83.13,14963.4,07/02/2026,Warehouse A,Low Stock,23/08/2024,04/03/2025
Color Sanitizers,MediCorp,188,36.33,6830.04,24/09/2027,Emergency Storage,Available,28/03/2023,16/05/2024
Expect Surgical Equipment,HealthFirst,209,495.07,103469.63,19/10/2024,Main Hospital,Out of Stock,03/08/2022,22/09/2022
Improve Medicine,HealthFirst,299,374.68,112029.32,24/09/2027,Clinic Branch,Low Stock,14/06/2023,10/06/2024
At Personal Protective Equipment,MediCorp,268,388.39,104088.52,12/07/2025,Warehouse B,Low Stock,21/01/2024,29/10/2024
Wife Personal Protective Equipment,CareWell,270,192.78,52050.6,24/05/2027,Emergency Storage,Out of Stock,21/06/2024,28/12/2024
Along Diagnostic Tools,MedSupplies,214,73.45,15718.3,26/11/2027,Clinic Branch,Low Stock,30/11/2022,
Summer Surgical Equipment,MedSupplies,114,229.75,26191.5,28/05/2024,Clinic Branch,Available,25/06/2024,15/07/2024
Finish Medicine,HealthFirst,152,357.13,54283.76,23/08/2026,Clinic Branch,Out of Stock,03/03/2022,19/11/2022
Poor Medicine,CareWell,44,256.03,11265.32,22/01/2028,Main Hospital,Low Stock,20/08/2022,24/05/2023
Different Diagnostic Tools,CareWell,153,139.97,21415.41,25/07/2027,Warehouse A,Out of Stock,18/04/2023,12/11/2024
Certainly Sanitizers,PharmaPlus,260,5.48,1424.8,26/04/2026,Clinic Branch,Low Stock,02/07/2023,
Upon Personal Protective Equipment,MedSupplies,179,490.46,87792.34,24/12/2024,Clinic Branch,Low Stock,15/08/2022,31/01/2023
Season Sanitizers,HealthFirst,78,312.16,24348.48,24/01/2025,Emergency Storage,Available,11/04/2023,08/01/2024
Clearly Personal Protective Equipment,MediCorp,187,440.68,82407.16,25/09/2024,Warehouse B,Available,04/07/2022,16/03/2025
Natural Personal Protective Equipment,MedSupplies,138,352.66,48667.08,07/11/2026,Clinic Branch,Out of Stock,01/05/2024,16/07/2024
True Personal Protective Equipment,MedSupplies,111,140.33,15576.63,30/08/2026,Warehouse B,Out of Stock,02/08/2023,
Fund Medicine,CareWell,297,355.59,105610.23,14/08/2027,Warehouse B,Out of Stock,23/10/2023,27/06/2024
Military Medicine,CareWell,228,492.04,112185.12,18/04/2026,Warehouse B,Low Stock,19/11/2023,23/11/2024
Store Sanitizers,CareWell,89,78.24,6963.36,21/05/2027,Warehouse A,Low Stock,01/06/2024,12/06/2024
Share Personal Protective Equipment,CareWell,274,345.31,94614.94,11/06/2026,Emergency Storage,Low Stock,06/04/2023,06/11/2024
Guess Surgical Equipment,CareWell,148,122.91,18190.68,22/10/2025,Main Hospital,Out of Stock,27/08/2024,06/01/2025
Above Medicine,MedSupplies,80,145.38,11630.4,12/09/2025,Clinic Branch,Low Stock,21/02/2024,09/08/2024
Must Sanitizers,CareWell,107,417.08,44627.56,26/03/2026,Clinic Branch,Low Stock,09/07/2024,
Officer Sanitizers,MedSupplies,1,353.27,353.27,07/06/2026,Warehouse A,Available,31/08/2023,27/05/2024
Add Diagnostic Tools,MediCorp,48,53.26,2556.48,12/11/2024,Emergency Storage,Low Stock,23/11/2023,01/09/2024
Fact Medicine,MedSupplies,145,359.43,52117.35,06/06/2027,Clinic Branch,Out of Stock,11/12/2022,09/02/2025
Either Personal Protective Equipment,MedSupplies,294,194.3,57124.2,27/01/2028,Main Hospital,Low Stock,10/02/2025,
White Surgical Equipment,MedSupplies,224,306.8,68723.2,11/01/2028,Emergency Storage,Low Stock,25/04/2024,15/06/2024
Agent Sanitizers,MediCorp,144,334.38,48150.72,21/04/2024,Warehouse B,Available,20/05/2022,01/06/2022
Guess Surgical Equipment,MedSupplies,205,120.75,24753.75,28/11/2027,Warehouse B,Low Stock,28/09/2023,07/11/2023
Civil Sanitizers,PharmaPlus,162,144.8,23457.6,Invalid Date,Main Hospital,Out of Stock,27/09/2023,19/09/2024
Imagine Sanitizers,MedSupplies,271,12.51,3390.21,Invalid Date,Warehouse B,Available,17/01/2024,27/04/2024
Order Surgical Equipment,MediCorp,252,434.85,109582.2,31/12/2026,Warehouse B,Low Stock,24/12/2024,06/01/2025
Way Diagnostic Tools,MediCorp,127,192.32,24424.64,08/08/2024,Emergency Storage,Low Stock,16/12/2023,23/05/2024
After Sanitizers,MedSupplies,0,377.13,0,23/04/2026,Emergency Storage,Low Stock,24/04/2024,30/04/2024
Future Diagnostic Tools,PharmaPlus,165,458.27,75614.55,28/09/2024,Warehouse A,Low Stock,29/09/2022,09/09/2024
List Sanitizers,HealthFirst,225,216.36,48681,09/07/2025,Warehouse A,Out of Stock,01/04/2022,
Ever Surgical Equipment,MediCorp,50,137.29,6864.5,17/05/2026,Clinic Branch,Low Stock,13/02/2025,16/02/2025
Manager Medicine,CareWell,135,222.84,30083.4,30/01/2025,Emergency Storage,Out of Stock,30/09/2024,27/01/2025
Town Medicine,HealthFirst,80,119.14,9531.2,12/05/2027,Clinic Branch,Low Stock,23/11/2024,28/12/2024
Chance Diagnostic Tools,HealthFirst,187,327.67,61274.29,09/02/2026,Warehouse A,Low Stock,04/10/2024,04/11/2024
Detail Personal Protective Equipment,MedSupplies,11,179.04,1969.44,03/12/2026,Emergency Storage,Low Stock,11/01/2024,
Person Surgical Equipment,PharmaPlus,19,8.3,157.7,13/05/2026,Clinic Branch,Available,28/12/2022,
Find Medicine,HealthFirst,126,38.35,4832.1,05/01/2028,Main Hospital,Available,05/06/2024,28/10/2024
Force Medicine,CareWell,123,431.74,53104.02,07/04/2027,Emergency Storage,Low Stock,17/01/2025,21/03/2025
Side Sanitizers,PharmaPlus,227,165.96,37672.92,09/05/2026,Warehouse B,Available,26/06/2022,13/11/2022
Black Medicine,MediCorp,103,86.87,8947.61,28/07/2025,Main Hospital,Available,26/09/2023,15/05/2024
Agree Medicine,MedSupplies,268,180.86,48470.48,21/05/2024,Clinic Branch,Low Stock,15/01/2024,13/04/2024
Fish Surgical Equipment,PharmaPlus,23,448.36,10312.28,02/08/2025,Main Hospital,Low Stock,25/08/2024,
Key Medicine,MedSupplies,75,168.16,12612,01/04/2027,Warehouse A,Low Stock,21/06/2024,
Those Diagnostic Tools,MediCorp,51,281.48,14355.48,02/07/2026,Warehouse B,Out of Stock,06/08/2023,05/11/2024
Western Medicine,PharmaPlus,155,275.26,42665.3,06/10/2025,Clinic Branch,Low Stock,07/06/2023,20/01/2024
Affect Personal Protective Equipment,CareWell,176,382.07,67244.32,23/10/2024,Emergency Storage,Low Stock,26/10/2024,
President Diagnostic Tools,CareWell,175,45.88,8029,02/09/2025,Clinic Branch,Out of Stock,03/09/2022,16/01/2024
Support Sanitizers,MediCorp,181,155.86,28210.66,29/01/2027,Warehouse A,Low Stock,18/08/2023,
Deal Diagnostic Tools,MediCorp,33,80.81,2666.73,24/02/2025,Warehouse B,Low Stock,06/07/2022,
Writer Sanitizers,MedSupplies,70,118.79,8315.3,21/11/2026,Main Hospital,Out of Stock,27/03/2023,05/02/2024
Project Medicine,MedSupplies,236,472.13,111422.68,26/02/2026,Emergency Storage,Out of Stock,25/10/2023,
Customer Medicine,PharmaPlus,79,408.91,32303.89,03/01/2026,Clinic Branch,Low Stock,27/02/2022,17/07/2022
Keep Medicine,MedSupplies,85,171.28,14558.8,19/07/2027,Warehouse B,Low Stock,25/07/2022,28/02/2023
Teach Diagnostic Tools,HealthFirst,93,344.69,32056.17,01/09/2026,Warehouse B,Low Stock,13/05/2024,02/09/2024
Smile Personal Protective Equipment,MedSupplies,118,442.51,52216.18,14/11/2024,Emergency Storage,Out of Stock,27/10/2023,14/01/2024
Per Surgical Equipment,MediCorp,289,94.65,27353.85,20/12/2025,Main Hospital,Low Stock,11/11/2022,
Edge Surgical Equipment,PharmaPlus,27,449.91,12147.57,21/11/2027,Warehouse B,Out of Stock,28/07/2024,03/11/2024
Until Medicine,CareWell,184,368.06,67723.04,06/02/2025,Warehouse B,Out of Stock,17/01/2023,
Arrive Sanitizers,PharmaPlus,151,169.64,25615.64,23/09/2024,Warehouse B,Low Stock,06/04/2024,20/04/2024
Way Surgical Equipment,HealthFirst,66,51.14,3375.24,16/08/2024,Warehouse B,Low Stock,04/12/2022,25/12/2023
Think Surgical Equipment,HealthFirst,13,268.22,3486.86,19/11/2026,Warehouse B,Low Stock,11/07/2023,17/03/2025
Method Sanitizers,PharmaPlus,216,406.97,87905.52,06/03/2026,Warehouse A,Out of Stock,30/06/2023,04/09/2024
Effort Sanitizers,MediCorp,143,128.7,18404.1,29/07/2026,Emergency Storage,Low Stock,23/05/2023,25/12/2023
Fund Diagnostic Tools,MedSupplies,87,351.5,30580.5,07/02/2025,Emergency Storage,Out of Stock,20/10/2024,27/11/2024
Add Diagnostic Tools,PharmaPlus,221,448.76,99175.96,25/12/2027,Emergency Storage,Out of Stock,29/11/2022,09/07/2023
Various Medicine,CareWell,257,432,111024,06/07/2026,Warehouse A,Available,02/01/2025,12/03/2025
Environmental Diagnostic Tools,CareWell,30,185.72,5571.6,31/05/2025,Warehouse A,Low Stock,26/06/2022,23/09/2024
Institution Surgical Equipment,HealthFirst,164,194.41,31883.24,30/12/2024,Emergency Storage,Out of Stock,09/03/2024,01/11/2024
Letter Surgical Equipment,MediCorp,268,344.55,92339.4,25/04/2025,Warehouse B,Low Stock,12/01/2023,03/04/2023
Look Sanitizers,PharmaPlus,44,86.02,3784.88,30/09/2025,Emergency Storage,Out of Stock,06/06/2022,16/10/2023
Marriage Personal Protective Equipment,HealthFirst,87,454.88,39574.56,05/06/2026,Clinic Branch,Out of Stock,01/05/2024,20/01/2025
Yard Personal Protective Equipment,PharmaPlus,85,193.27,16427.95,10/11/2027,Warehouse A,Low Stock,13/11/2024,16/11/2024
Course Surgical Equipment,CareWell,150,178.92,26838,25/03/2025,Warehouse A,Out of Stock,07/07/2024,16/01/2025
Little Sanitizers,CareWell,259,178.49,46228.91,26/11/2027,Main Hospital,Out of Stock,28/08/2024,27/12/2024
Direction Sanitizers,PharmaPlus,212,414.65,87905.8,22/10/2024,Emergency Storage,Low Stock,03/01/2023,22/03/2025
Strong Sanitizers,MedSupplies,245,276.32,67698.4,02/03/2025,Clinic Branch,Out of Stock,31/12/2022,31/05/2024
Likely Surgical Equipment,CareWell,167,452.51,75569.17,22/03/2027,Emergency Storage,Low Stock,04/10/2024,06/11/2024
Mean Surgical Equipment,HealthFirst,246,131.97,32464.62,04/10/2024,Warehouse B,Available,24/08/2022,01/12/2024
Night Sanitizers,CareWell,8,218.62,1748.96,02/12/2026,Warehouse B,Out of Stock,07/06/2023,
Total Personal Protective Equipment,MediCorp,276,358.67,98992.92,29/07/2025,Emergency Storage,Available,22/04/2024,08/01/2025
Environment Personal Protective Equipment,MediCorp,119,126.9,15101.1,29/03/2024,Clinic Branch,Out of Stock,09/05/2023,16/10/2024
Very Diagnostic Tools,MedSupplies,249,485.88,120984.12,12/07/2025,Warehouse B,Low Stock,12/10/2024,21/12/2024
Vote Surgical Equipment,MediCorp,22,202.44,4453.68,19/03/2027,Warehouse A,Out of Stock,23/07/2023,10/04/2024
Artist Sanitizers,PharmaPlus,126,57.81,7284.06,24/12/2027,Warehouse B,Available,29/03/2022,14/04/2022
Star Surgical Equipment,MedSupplies,231,140.89,32545.59,Invalid Date,Clinic Branch,Out of Stock,23/08/2024,12/02/2025
She Surgical Equipment,CareWell,39,206.33,8046.87,15/11/2024,Warehouse B,Available,19/02/2025,04/03/2025
Perhaps Surgical Equipment,CareWell,147,55.48,8155.56,09/08/2024,Emergency Storage,Out of Stock,19/05/2022,11/06/2024
Mean Personal Protective Equipment,PharmaPlus,53,434.04,23004.12,10/03/2024,Clinic Branch,Out of Stock,09/03/2022,
Color Surgical Equipment,MediCorp,202,258.41,52198.82,19/11/2026,Clinic Branch,Out of Stock,21/12/2023,04/03/2024
My Personal Protective Equipment,PharmaPlus,203,454.65,92293.95,20/12/2025,Emergency Storage,Out of Stock,23/08/2024,27/10/2024
Firm Personal Protective Equipment,CareWell,294,296.96,87306.24,12/04/2026,Warehouse A,Available,11/08/2023,06/06/2024
Away Surgical Equipment,MedSupplies,243,70.68,17175.24,29/12/2027,Warehouse A,Low Stock,06/02/2025,06/02/2025
Book Medicine,MedSupplies,238,406.68,96789.84,28/10/2026,Clinic Branch,Out of Stock,05/10/2022,06/11/2022
Behavior Sanitizers,CareWell,72,243.01,17496.72,02/01/2028,Main Hospital,Available,25/11/2023,26/02/2024
Senior Sanitizers,CareWell,64,54.08,3461.12,19/04/2026,Emergency Storage,Out of Stock,06/11/2023,13/02/2025
Small Personal Protective Equipment,CareWell,252,84.82,21374.64,06/03/2024,Clinic Branch,Low Stock,01/11/2024,26/11/2024
Certain Medicine,PharmaPlus,91,309.47,28161.77,22/01/2027,Main Hospital,Out of Stock,29/01/2024,02/05/2024
Across Surgical Equipment,PharmaPlus,233,434.5,101238.5,08/12/2026,Warehouse B,Low Stock,01/04/2023,11/01/2024
Left Personal Protective Equipment,PharmaPlus,167,457.8,76452.6,01/07/2026,Warehouse A,Available,01/10/2023,16/03/2024
Year Sanitizers,,218,212.42,46307.56,20/05/2027,Warehouse A,Available,18/02/2023,26/02/2024
Between Sanitizers,PharmaPlus,24,461.75,11082,06/03/2026,Clinic Branch,Available,29/12/2023,19/11/2024
